doc_id,nama_kos,lokasi_kecamatan,review_text,sumber,tanggal
D1,KOST D’LIKA,Cibeunying Kidul,"Kamarnya lumayan besar ukuran 3x4 bersih dan nyaman, bapa sama ibu kostnya baik dan ramah.",Google Maps ,07-01-2026
D2,A4 Kost Cikutra,Cibeunying Kaler ,"Betah banget disini, nyaman, yang punya, dan penghuni lain nya bikin nyaman, ramah2 dan baik2. Sayangnya survei proyek kelamaan, jadi pindah tempat tidur dulu. Tapi next kalo dah ke kantor bandung lagi, pasti bakal balik lagi ke kosan ini. Udah kaya pulang ke tempat keluarga. Sayang sekali pas pindah, pas panen mangga, engga kebagian deh mangga nya.",Google Maps ,07-01-2026
D3,Kost Putri Suti-Karno,Cibeunying Kidul,"Penginapan paling nyaman, lokasinya sangat strategis, dekat dengan banyak kampus, kamarnya nyaman, ditambah wifi-nya sangat bagus",Google Maps ,07-01-2026
D4,"Pondok Kost Audit - STABA, Ekuitas, YPKP, Widyatama, Itenas, ARS khusus Putri",Cimenyan,"Tempatnya oke, fasilitas lengkap ada mesin cuci, dapur bersama, ruang tamu sama meja makan, mantap",Google Maps ,07-01-2026
D5,Kost Putri Sakinah Bandung,Cibeunying Kidul,Tempat yang bagus dan aman untuk ditinggali.,Google Maps ,07-01-2026
D6,KOSAN 22-24 khusus Putra,Cibeunying Kidul ,"Pemilik Kost Baik banget. Sehat terus buk lela. Kost an Nyaman, Tenang, Bersih, Harga Bersahabat, Dekat dengan Mesjid. Ada bibi-bibi yang bersih2 hampir tiap hari juga. Cocok buat Mahasiswa atau Karyawan. Lingkungan sekitar Sangat Ramah. Dibagian depan jalan masuk dijaga oleh security (Semakin Aman). Senang pernah nge-kost disini.",Google Maps ,07-01-2026
D7,Kost Sulaeman,Cibeunying Kidul,"Rumah kos ini nyaman, lokasinya strategis dekat pasar + Alfamart, fasilitasnya cukup lengkap, terutama dengan tambahan mesin cuci untuk kenyamanan penghuni. Terlebih lagi, pemilik rumah kos sangat responsif jika ada masalah di rumah kos. Mungkin kurangnya area jemuran agak sempit tapi sudah cukup.. rumah kos terbaik.",Google Maps ,07-01-2026
D8,Kost Bandung Wisma 812,Cibeunying Kaler ,"Dengan harga yang recommended, pelayanan oke , pihak kostnya ramah banget , untuk fasilitas kamar kost menyesuaikan dengan harga lah yaaa , tapi di sini bener-bener nyaman banget.",Google Maps ,07-01-2026
D9,Kost Putri Muslimah Cikutra Bandung,Cibeunying Kaler,"Saya sudah tinggal di rumah kos ini selama lebih dari 4 tahun. Harganya terjangkau, sekitar 1,3-1,5 juta rupiah. Perabotannya lengkap dan bermerek. Sudah termasuk pemanas air, Wi-Fi, dan listrik. Ada kulkas di setiap lantai, dapur bersama di lantai pertama, dan area jemuran di lantai tiga. Rumah kos ini selalu bersih. Sangat direkomendasikan!",Google Maps ,07-01-2026
D10,Kosan 17 ,Cibeunying Kidul ,"Dekat kampus kampus ternama seperti itenas, widyatama, unpad.",Google Maps ,07-01-2026
