term,df
nyaman,14
bersih,12
kost,12
baik,9
dekat,9
fasilitas,9
lengkap,9
ada,8
disini,8
kos,8
tempat,8
sangat,7
ibu,6
kamar,6
kosan,6
ramah,6
air,5
aman,4
bagus,4
dapur,4
harga,4
itenas,4
kampus,4
luas,4
mandi,4
rumah,4
sama,4
strategis,4
tahun,4
wifi,4
yg,4
bapak,3
cctv,3
cocok,3
cuci,3
fasilitasnya,3
jemuran,3
kalo,3
lagi,3
mahasiswa,3
mantap,3
masuk,3
mesin,3
motor,3
parkiran,3
pemilik,3
penghuni,3
pindah,3
selama,3
agak,2
akses,2
area,2
bakal,2
bandung,2
bersama,2
buat,2
cukup,2
deh,2
enak,2
harganya,2
it,2
jalan,2
kamarnya,2
kemana,2
kostnya,2
kota,2
listrik,2
lokasinya,2
mahal,2
meja,2
memang,2
murah,2
oke,2
pelayanan,2
pemanas,2
pria,2
punya,2
recommended,2
responsif,2
sekali,2
sekitar,2
setiap,2
sini,2
tamu,2
tempatnya,2
terbaik,2
terima,2
terjangkau,2
termasuk,2
tinggal,2
tv,2
udah,2
umum,2
worth,2
adrenalin,1
airnya,1
aku,1
alfamart,1
an,1
anak,1
anget,1
balik,1
banyak,1
bapa,1
bebas,1
beberapa,1
bener,1
bermerek,1
bersahabat,1
besar,1
betah,1
biaya,1
bibi,1
bikin,1
boros,1
buana,1
buk,1
bukan,1
bulan,1
bulanan,1
cewek,1
cikutra,1
cumn,1
curam,1
daerah,1
dah,1
dalem,1
deket,1
depan,1
diajak,1
dibagian,1
dibandingkan,1
dijaga,1
dijangkau,1
dilengkapi,1
dipasang,1
diperantauan,1
direkomendasikan,1
disni,1
ditambah,1
ditinggali,1
duduk,1
dulu,1
engga,1
fi,1
full,1
fup,1
ga,1
gapernah,1
gb,1
hampir,1
hanya,1
hari,1
harian,1
highly,1
hp,1
indihome,1
indomaret,1
internet,1
jaga,1
jam,1
jika,1
juta,1
kantor,1
karyawan,1
karyawati,1
kasih,1
kasihh,1
kasur,1
kaya,1
keamanan,1
kebagian,1
kebandung,1
kebersihan,1
kelamaan,1
keluarga,1
kemarin,1
kenceng,1
kenyamanan,1
khusus,1
km,1
komentar,1
komunikasi,1
kosannya,1
kostan,1
kostannya,1
kuliah,1
kulkas,1
kuota,1
kurangnya,1
kursi,1
lain,1
lalu,1
langganan,1
lantai,1
laundry,1
lela,1
lemari,1
lingkungan,1
luar,1
lumayan,1
mahasiswi,1
main,1
makan,1
mana,1
mangga,1
masalah,1
masjid,1
mau,1
maupun,1
max,1
mbps,1
menantang,1
menurut,1
menyenangkan,1
menyesuaikan,1
merawat,1
mesjid,1
middle,1
mobil,1
mudah,1
mudun,1
mungkin,1
namun,1
next,1
nge,1
ngekos,1
nginep,1
ngobrol,1
nomor,1
nongkrong,1
nyari,1
oleh,1
paling,1
panen,1
parkir,1
pas,1
pasar,1
pasti,1
patungan,1
pemakaian,1
pemiliknya,1
penginapan,1
penjaga,1
penting,1
perabotannya,1
pernah,1
pertama,1
pihak,1
posisi,1
proyek,1
pulang,1
pusat,1
putra,1
putus,1
rapih,1
rekomendasi,1
ruang,1
rupiah,1
sana,1
sangga,1
sayang,1
sayangnya,1
sebelah,1
security,1
sedikit,1
sehat,1
sekarang,1
selain,1
selalu,1
selera,1
seluruh,1
semakin,1
semester,1
sempit,1
senang,1
seorang,1
sepadan,1
sewa,1
shower,1
smart,1
speed,1
stabil,1
survei,1
susahnya,1
tahunan,1
tambahan,1
tampat,1
tau,1
taun,1
tb,1
tenang,1
terbatas,1
terlebih,1
ternama,1
terus,1
terutama,1
tiap,1
tidur,1
tiga,1
tinggi,1
tolong,1
top,1
ucap,1
ukuran,1
universitas,1
unpad,1
wajar,1
waktu,1
warteg,1
warung,1
wastafel,1
wc,1
wi,1
widyatama,1
x,1
yaaa,1
ypkp,1
