term,idf
ypkp,3.740840023925201
yaaa,3.740840023925201
adrenalin,3.740840023925201
x,3.740840023925201
widyatama,3.740840023925201
airnya,3.740840023925201
wi,3.740840023925201
tinggi,3.740840023925201
tiga,3.740840023925201
tidur,3.740840023925201
tiap,3.740840023925201
terutama,3.740840023925201
terus,3.740840023925201
ternama,3.740840023925201
terlebih,3.740840023925201
terbatas,3.740840023925201
tenang,3.740840023925201
bulan,3.740840023925201
bukan,3.740840023925201
buk,3.740840023925201
buana,3.740840023925201
boros,3.740840023925201
bikin,3.740840023925201
bibi,3.740840023925201
biaya,3.740840023925201
betah,3.740840023925201
besar,3.740840023925201
bersahabat,3.740840023925201
bermerek,3.740840023925201
bener,3.740840023925201
deket,3.740840023925201
dalem,3.740840023925201
dah,3.740840023925201
daerah,3.740840023925201
curam,3.740840023925201
cumn,3.740840023925201
cikutra,3.740840023925201
cewek,3.740840023925201
bulanan,3.740840023925201
tb,3.740840023925201
taun,3.740840023925201
tau,3.740840023925201
tampat,3.740840023925201
tambahan,3.740840023925201
tahunan,3.740840023925201
susahnya,3.740840023925201
survei,3.740840023925201
stabil,3.740840023925201
speed,3.740840023925201
smart,3.740840023925201
dulu,3.740840023925201
duduk,3.740840023925201
ditinggali,3.740840023925201
ditambah,3.740840023925201
disni,3.740840023925201
direkomendasikan,3.740840023925201
diperantauan,3.740840023925201
dipasang,3.740840023925201
dilengkapi,3.740840023925201
dijangkau,3.740840023925201
dijaga,3.740840023925201
dibandingkan,3.740840023925201
dibagian,3.740840023925201
diajak,3.740840023925201
depan,3.740840023925201
harian,3.740840023925201
hari,3.740840023925201
hanya,3.740840023925201
hampir,3.740840023925201
gb,3.740840023925201
gapernah,3.740840023925201
ga,3.740840023925201
fup,3.740840023925201
full,3.740840023925201
fi,3.740840023925201
engga,3.740840023925201
juta,3.740840023925201
jika,3.740840023925201
jam,3.740840023925201
jaga,3.740840023925201
internet,3.740840023925201
indomaret,3.740840023925201
indihome,3.740840023925201
hp,3.740840023925201
highly,3.740840023925201
shower,3.740840023925201
sewa,3.740840023925201
sepadan,3.740840023925201
seorang,3.740840023925201
senang,3.740840023925201
sempit,3.740840023925201
semester,3.740840023925201
semakin,3.740840023925201
seluruh,3.740840023925201
selera,3.740840023925201
selalu,3.740840023925201
selain,3.740840023925201
sekarang,3.740840023925201
keluarga,3.740840023925201
kelamaan,3.740840023925201
kebersihan,3.740840023925201
kebandung,3.740840023925201
kebagian,3.740840023925201
keamanan,3.740840023925201
kaya,3.740840023925201
kasur,3.740840023925201
kasihh,3.740840023925201
kasih,3.740840023925201
karyawati,3.740840023925201
karyawan,3.740840023925201
kantor,3.740840023925201
