term,idf,rank,selected
ypkp,3.740840023925201,1,YES
yaaa,3.740840023925201,2,YES
adrenalin,3.740840023925201,3,YES
x,3.740840023925201,4,YES
widyatama,3.740840023925201,5,YES
airnya,3.740840023925201,6,YES
wi,3.740840023925201,7,YES
tinggi,3.740840023925201,8,YES
tiga,3.740840023925201,9,YES
tidur,3.740840023925201,10,YES
tiap,3.740840023925201,11,YES
terutama,3.740840023925201,12,YES
terus,3.740840023925201,13,YES
ternama,3.740840023925201,14,YES
terlebih,3.740840023925201,15,YES
terbatas,3.740840023925201,16,YES
tenang,3.740840023925201,17,YES
bulan,3.740840023925201,18,YES
bukan,3.740840023925201,19,YES
buk,3.740840023925201,20,YES
buana,3.740840023925201,21,YES
boros,3.740840023925201,22,YES
bikin,3.740840023925201,23,YES
bibi,3.740840023925201,24,YES
biaya,3.740840023925201,25,YES
betah,3.740840023925201,26,YES
besar,3.740840023925201,27,YES
bersahabat,3.740840023925201,28,YES
bermerek,3.740840023925201,29,YES
bener,3.740840023925201,30,YES
deket,3.740840023925201,31,YES
dalem,3.740840023925201,32,YES
dah,3.740840023925201,33,YES
daerah,3.740840023925201,34,YES
curam,3.740840023925201,35,YES
cumn,3.740840023925201,36,YES
cikutra,3.740840023925201,37,YES
cewek,3.740840023925201,38,YES
bulanan,3.740840023925201,39,YES
tb,3.740840023925201,40,YES
taun,3.740840023925201,41,YES
tau,3.740840023925201,42,YES
tampat,3.740840023925201,43,YES
tambahan,3.740840023925201,44,YES
tahunan,3.740840023925201,45,YES
susahnya,3.740840023925201,46,YES
survei,3.740840023925201,47,YES
stabil,3.740840023925201,48,YES
speed,3.740840023925201,49,YES
smart,3.740840023925201,50,YES
dulu,3.740840023925201,51,YES
duduk,3.740840023925201,52,YES
ditinggali,3.740840023925201,53,YES
ditambah,3.740840023925201,54,YES
disni,3.740840023925201,55,YES
direkomendasikan,3.740840023925201,56,YES
diperantauan,3.740840023925201,57,YES
dipasang,3.740840023925201,58,YES
dilengkapi,3.740840023925201,59,YES
dijangkau,3.740840023925201,60,YES
dijaga,3.740840023925201,61,YES
dibandingkan,3.740840023925201,62,YES
dibagian,3.740840023925201,63,YES
diajak,3.740840023925201,64,YES
depan,3.740840023925201,65,YES
harian,3.740840023925201,66,YES
hari,3.740840023925201,67,YES
hanya,3.740840023925201,68,YES
hampir,3.740840023925201,69,YES
gb,3.740840023925201,70,YES
gapernah,3.740840023925201,71,YES
ga,3.740840023925201,72,YES
fup,3.740840023925201,73,YES
full,3.740840023925201,74,YES
